"time, s","CPT, N","FB, m","ICP1, g","LC, N","LP1, m","PPT5858, kPa","PPT5859, kPa","rpm, rpm"
0.731999993324,-8.19348923692,0.00172731745243,0.00285848625936,-3.8756570816,0.000300204694271,-2.14836192131,1.67664504051,999.0
2.75699996948,-8.1415626308,0.00172272241116,0.00296520069242,-3.83654713631,0.000301803320646,-2.1480255127,1.67695236206,999.0
3.76099991798,-8.10656062501,0.00171496450901,0.00294963130727,-3.90971779823,0.000301619261503,-2.14814853668,1.67823088169,999.0
4.75699996948,-8.10263981495,0.00172624754906,0.00303568411618,-3.95003128052,0.000300100892782,-2.14868021011,1.67724847794,999.0
5.76200008392,-8.13267531991,0.00172589743137,0.00295133469626,-3.92849564552,0.000301713168621,-2.14908790588,1.67773604393,999.0
6.76200008392,-8.14181344811,0.00172378075123,0.00289634009823,-3.90240120888,0.000299679636955,-2.14829039574,1.67859196663,999.0
7.76200008392,-8.10241020841,0.00172869837284,0.00293285096996,-3.97599768639,0.000299567222595,-2.1478536129,1.67844080925,999.0
8.75599956512,-8.15067212446,0.00172272634506,0.00286893406883,-4.00170564651,0.000300399899483,-2.14789032936,1.6777536869,999.0
9.76200008392,-8.16273945941,0.00172417390347,0.00262504117563,-4.00729751587,0.000300340592861,-2.14870762825,1.68279635906,999.0
10.7550001144,-8.13928247347,0.00172074210644,0.00271558668464,-3.9962849617,0.00030138579011,-2.1678981781,1.76828348637,999.0
11.7550001144,-8.11876423914,0.00172034537792,0.00313826673664,-4.00657224655,0.000300882935524,-2.14352488518,1.71882414818,999.0
12.7550001144,-8.09195542193,0.00171848154068,0.00309806922451,-4.00636196136,0.000299876153469,-2.15610980988,1.72051763535,999.0
13.7589998245,-8.13748167945,0.00172590899467,0.00275020534173,-3.99300193787,0.00030041718483,-2.13599443436,1.68636107445,999.0
14.7559995651,-8.11283689063,0.00172242665291,0.00247331662104,-3.93707132339,0.000299535155296,-2.14686822891,1.70411503315,999.0
15.7559995651,-8.0891630246,0.00172748851776,0.00373420142569,-4.02682971954,0.000300879210234,-2.13229680061,1.69491100311,999.0
16.7560005188,-8.11279128748,0.00172136104107,0.00380640523508,-4.02314281464,0.000301677376032,-2.13686752319,1.70897054672,999.0
17.7619991302,-8.13201672564,0.00172281193733,0.00529027543962,-3.97616505623,0.000300273895264,-2.12509274483,1.70829594135,999.0
18.7549991608,-8.15043509415,0.00171449756622,0.00437068799511,-3.9892308712,0.000300896555185,-2.12233972549,1.72255980968,999.0
19.7579994202,-8.17542349739,0.0017214307785,0.00292537454516,-3.98902082443,0.000301027476788,-2.10486316681,1.72504806519,999.0
20.7560005188,-8.17200962462,0.00172407269478,0.0027779659722,-3.98470115662,0.000301908373833,-2.10015726089,1.74517631531,999.0
21.7549991608,-8.20116541308,0.00171714305878,0.00240600528196,-3.96886539459,0.000300622284412,-2.08000302315,1.75088870525,999.0
22.7560005188,-8.23305208763,0.00171670341492,0.0023801990319,-3.99005317688,0.000301291882992,-2.06868457794,1.77443063259,999.0
23.7590007782,-8.24638358423,0.00172311139107,0.00231838040054,-4.02939033508,0.000300141662359,-2.04203391075,1.78477406502,999.0
24.7549991608,-8.2522584361,0.00171824026108,0.0022769884672,-4.06100416183,0.000301530301571,-2.02428126335,1.80683851242,999.0
25.7560005188,-8.22544113458,0.00172453188896,0.00252766022459,-4.0721244812,0.000300658106804,-1.99963724613,1.84226608276,999.0
26.7560005188,-8.25537482787,0.00172247338295,0.00249683624133,-4.06652355194,0.000300428330898,-1.96346855164,1.85553407669,999.0
27.7549991608,-8.27205656493,0.00172624361515,0.00225879088975,-4.09319496155,0.000300171345472,-1.94084262848,1.89811730385,999.0
28.7560005188,-8.26003112124,0.0017166415453,0.00269866827875,-4.06798601151,0.000299777239561,-1.89763581753,1.92802476883,999.0
29.7560005188,-8.2890819164,0.00172478461266,0.00272981822491,-4.09468078613,0.000301089257002,-1.86431980133,1.96444058418,999.0
30.7560005188,-8.25500204866,0.00171723270416,0.00245615909807,-4.09218406677,0.00030100029707,-1.81849968433,1.98377585411,999.0
31.7549991608,-8.30801941841,0.00171880459785,0.00238781864755,-4.14972829819,0.000302003502846,-1.78210651875,2.02977514267,999.0
32.7620010376,-8.27077172279,0.00171695268154,0.00250734691508,-4.14325237274,0.000300795257092,-1.73761987686,2.06734728813,999.0
33.7550010681,-8.2875626953,0.0017245554924,0.00317726936191,-4.20063877106,0.000300828576088,-1.68998515606,2.11790180206,999.0
34.7560005188,-8.31347906954,0.00171928703785,0.00284229964018,-4.21916818619,0.000302254229784,-1.64671468735,2.17340040207,999.0
35.7620010376,-8.29617903865,0.00172190141678,0.00269893719815,-4.20796585083,0.00030116096139,-1.58541250229,2.21977233887,999.0
36.7630004883,-8.25216404819,0.00172403359413,0.00244543072768,-4.2903676033,0.000301104128361,-1.53222429752,2.2887942791,999.0
37.7620010376,-8.27498789277,0.00172320508957,0.00258950190619,-4.32484722137,0.000300474017859,-1.45983099937,2.34253740311,999.0
38.7569999695,-8.29234201111,0.00172929787636,0.00244637997821,-4.3421292305,0.000300995349884,-1.39873695374,2.42678928375,999.0
39.7550010681,-8.30140272001,0.00172027182579,0.00278804800473,-4.34109020233,0.000301159739494,-1.3354575634,2.46199512482,999.0
40.7569999695,-8.34567542127,0.00172841060162,0.00267066247761,-4.47070026398,0.000301515460014,-1.26548838615,2.52785205841,999.0
41.7550010681,-8.34509689764,0.00173233258724,0.00241689337417,-4.49774885178,0.000300666689873,-1.19073808193,2.6176199913,999.0
42.7579994202,-8.27690322493,0.00173791193962,0.00261556520127,-4.50591182709,0.000300729751587,-1.09752118587,2.69307637215,999.0
43.7579994202,-8.348811433,0.00173606777191,0.00227466807701,-4.46862411499,0.000302148044109,-1.02060163021,2.7991399765,999.0
44.7579994202,-8.33082152196,0.00172727072239,0.00207629916258,-4.55908107758,0.000301550090313,-0.921794772148,2.86950588226,999.0
45.7560005188,-8.27176756825,0.00172901773453,0.00279257469811,-4.63741636276,0.000301438897848,-0.834210753441,2.98318862915,999.0
46.7599983215,-8.25526082,0.00172943425179,0.00212162919343,-4.71306657791,0.000301055908203,-0.726255297661,3.08041834831,999.0
47.7560005188,-8.29538681655,0.00173084247112,0.00308855273761,-4.64418840408,0.000300118267536,-0.621923446655,3.17954683304,999.0
48.7560005188,-8.24623616941,0.0017323756218,0.00161306199152,-4.71164655685,0.000300507366657,-0.521089375019,3.29202747345,999.0
49.7569999695,-8.26505277005,0.00172913062572,0.0020805913955,-4.77517223358,0.000302358001471,-0.406571120024,3.39953994751,999.0
50.7569999695,-8.30288853415,0.00173174524307,0.00280832638964,-4.84087514877,0.000302327126265,-0.29228875041,3.51470518112,999.0
51.7560005188,-8.4187295242,0.00172831745322,0.00244859364538,-4.96742302881,0.000306490576566,0.265071166985,4.0963954538,999.0
52.7569999695,-8.42829476805,0.00172845172206,0.0024405177108,-5.00898523253,0.000306965714033,0.378589797305,4.21218218841,999.0
53.7560005188,-8.43798332422,0.0017285773944,0.00243287486706,-5.05132065415,0.0003074691965,0.495039675576,4.33116011477,999.0
54.7560005188,-8.44777247913,0.00172869580256,0.00242552013979,-5.09441016729,0.000308001698911,0.614396002083,4.4533183203,999.0
55.7560005188,-8.45761717253,0.00172880211782,0.0024190140988,-5.13822231003,0.000308564225166,0.736635839698,4.57864620343,999.0
56.7560005188,-8.46748941874,0.00172889979418,0.00241278906173,-5.18278992829,0.000309156660519,0.861734928111,4.70713177554,999.0
57.7560005188,-8.47736933546,0.00172898982667,0.002407172944,-5.22808275263,0.000309780341175,0.989663591223,4.83875888557,999.0
58.7569999695,-8.48724106684,0.00172906912203,0.00240201974418,-5.27409185359,0.000310435039738,1.12039495522,4.97351294444,999.0
59.7560005188,-8.49703750059,0.00172914309691,0.00239732680931,-5.32080273611,0.000311121217471,1.25389975689,5.1113767187,999.0
60.7569999695,-8.50674938737,0.00172920623707,0.00239315260872,-5.36824267831,0.000311838816257,1.39014803772,5.25233176989,999.0
61.7569999695,-8.5163753526,0.00172926170737,0.0023896110769,-5.41640540687,0.000312588231796,1.52911688055,5.39634179435,999.0
62.7550010681,-8.52585989782,0.00172930845663,0.00238618567153,-5.46528194765,0.000313369116187,1.67076620209,5.54342497065,999.0
63.7569999695,-8.53517351137,0.00172934700732,0.00238363650532,-5.51487062605,0.000314181794026,1.81507607871,5.6935470566,999.0
64.7570037842,-8.54429742984,0.00172937872099,0.00238164209024,-5.56516577707,0.000315025454928,1.96201187807,5.84670065517,999.0
65.7570037842,-8.55320914752,0.00172940502877,0.00238005339665,-5.61617515553,0.000315899756976,2.11155534851,6.00285446088,999.0
